Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
202305006,– – – – высококачественная говядина 12),-,15%
202305008,– – – – прочие,-,"50%, но не менее 1евро/кг"
202309000,– – прочие,,
202309004,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 30 900 5 или 0202 30 900 6",-,15%
202309005,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
202309006,– – – прочие,,
202309006,– – – – высококачественная говядина 12),-,15%
202309008,– – – – прочие,-,"50%, но не менее 1евро/кг"
203,"Свинина свежая, охлажденная или замороженная",,
20310,– свежая или охлажденная,,
203110000,– – туши и полутуши,,
203111000,– – – домашних свиней,,
203111001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203111009,– – – – прочие,-,25%
203119000,– – – прочие,,
203119001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203119009,– – – – прочие,-,25%
203120000,"– – окорока, лопатки и отруба из них, необваленные",,
203121000,– – – домашних свиней,,
203121100,– – – – окорока и отруба из них,,
203121101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203121109,– – – – – прочие,-,25%
203121900,– – – – лопатки и отруба из них,,
203121901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203121909,– – – – – прочие,-,25%
203129000,– – – прочие,,
203129001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203129009,– – – – прочие,-,25%
203190000,– – прочая,,
203190000,– – – домашних свиней,,
203191100,– – – – передние края и отруба из них,,
203191101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203191109,– – – – – прочие,-,25%
203191300,"– – – – корейки и отруба из них, необваленные",,
203191301,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203191309,– – – – – прочие,-,25%
203191500,– – – – грудинки (стрики) и отруба из них,,
203191501,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203191509,– – – – – прочие,-,25%
203195000,– – – – прочая,,
203195500,– – – – – мясо обваленное,,
203195501,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203195509,– – – – – – прочее,-,25%
203195900,– – – – – прочая,,
203195901,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203195909,– – – – – – прочая,-,25%
203199000,– – – прочая,,
203199001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203199009,– – – – прочая,-,25%
20320,– замороженная,,
203210000,– – туши и полутуши,,
203211000,– – – домашних свиней,,
203211001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203211009,– – – – прочие,-,25%
203219000,– – – прочие,,
203219001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203219009,– – – – прочие,-,25%
203220000,"– – окорока, лопатки и отруба из них, необваленные",,
203221000,– – – домашних свиней,,
203221100,– – – – окорока и отруба из них,,
203221101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203221109,– – – – – прочие,-,25%
203221900,– – – – лопатки и отруба из них,,
203221901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203221909,– – – – – прочие,-,25%
203229000,– – – прочие,,
203229001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203229009,– – – – прочие,-,25%
203290000,– – прочая,,
203290000,– – – домашних свиней,,
203291100,– – – – передние края и отруба из них,,
203291101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203291109,– – – – – прочие,-,25%
203291300,"– – – – корейки и отруба из них, необваленные",,
203291301,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203291309,– – – – – прочие,-,25%
203291500,– – – – грудинки (стрики) и отруба из них,,
203291501,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203291509,– – – – – прочие,-,25%
203295000,– – – – прочая,,
203295500,– – – – – мясо обваленное,,
203295501,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203295502,"– – – – – – тримминг в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203295503,– – – – – – прочее,,
203295503,– – – – – – – тримминг,-,25%
203295509,– – – – – – – прочее,-,25%
203295900,– – – – – прочая,,
203295901,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203295909,– – – – – – прочая,-,25%
203299000,– – – прочая,,
203299001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203299002,"– – – – тримминг в порядке, указанном в дополнительном примечании Евразийского экономического союза 2 к группе 02",-,0
203299003,– – – – прочая,,
203299003,– – – – – тримминг,-,25%
203299009,– – – – – прочая,-,25%
204,"Баранина или козлятина свежая, охлажденная или замороженная",,
204100000,"– туши и полутуши ягнят, свежие или охлажденные",-,"15%, но не менее 0.15евро/кг"
20420,"– прочая баранина, свежая или охлажденная",,
204210000,– – туши и полутуши,-,"15%, но не менее 0.15евро/кг"
204220000,"– – прочие отруба, необваленные",,
204221000,– – – передние четвертины короткого разруба,-,"15%, но не менее 0.15евро/кг"
204223000,– – – хребтовые края спинной части и/или почечные части,-,"15%, но не менее 0.15евро/кг"
204225000,– – – тазобедренные части с голяшкой,-,"15%, но не менее 0.15евро/кг"
204229000,– – – прочие,-,"15%, но не менее 0.15евро/кг"
204230000,– – мясо обваленное,-,"15%, но не менее 0.15евро/кг"
204300000,"– туши и полутуши ягнят, замороженные",-,"15%, но не менее 0.15евро/кг"
20440,"– прочая баранина, замороженная",,
204410000,– – туши и полутуши,-,"15%, но не менее 0.15евро/кг"
204420000,"– – прочие отруба, необваленные",,
204421000,– – – передние четвертины короткого разруба,-,"15%, но не менее 0.15евро/кг"
204423000,– – – хребтовые края спинной части и/или почечные части,-,"15%, но не менее 0.15евро/кг"
204425000,– – – тазобедренные части с голяшкой,-,"15%, но не менее 0.15евро/кг"
204429000,– – – прочие,-,"15%, но не менее 0.15евро/кг"
204430000,– – мясо обваленное,,
204431000,– – – ягнят,-,"15%, но не менее 0.15евро/кг"
204439000,– – – прочее,-,"15%, но не менее 0.15евро/кг"
20450,– козлятина,,
204500000,– – свежая или охлажденная,,
204501100,– – – туши и полутуши,-,"15%, но не менее 0.15евро/кг"
204501300,– – – передние четвертины короткого разруба,-,"15%, но не менее 0.15евро/кг"
204501500,– – – хребтовые края спинной части и/или почечные части,-,"15%, но не менее 0.15евро/кг"
204501900,– – – тазобедренные части с голяшкой,-,"15%, но не менее 0.15евро/кг"
204503000,– – – прочая,,
204503100,– – – – отруба необваленные,-,"15%, но не менее 0.15евро/кг"
204503900,– – – – мясо обваленное,-,"15%, но не менее 0.15евро/кг"
204505000,– – замороженная,,
204505100,– – – туши и полутуши,-,"15%, но не менее 0.15евро/кг"
204505300,– – – передние четвертины короткого разруба,-,"15%, но не менее 0.15евро/кг"
204505500,– – – хребтовые края спинной части и/или почечные части,-,"15%, но не менее 0.15евро/кг"
204505900,– – – тазобедренные части с голяшкой,-,"15%, но не менее 0.15евро/кг"
204507000,– – – прочая,,
204507100,– – – – отруба необваленные,-,"15%, но не менее 0.15евро/кг"
204507900,– – – – мясо обваленное,-,"15%, но не менее 0.15евро/кг"
205,"Мясо лошадей, ослов, мулов или лошаков, свежее, охлажденное или замороженное",,
205002000,– свежее или охлажденное,-,"15%, но не менее 0.15евро/кг"
205008000,– замороженное,-,"15%, но не менее 0.15евро/кг"
206,"Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные",,
20610,"– крупного рогатого скота, свежие или охлажденные",,
206101000,– – для производства фармацевтической продукции,-,0
206109000,– – прочие,,
206109500,– – – толстая диафрагма и тонкая диафрагма,-,"15%, но не менее 0.15евро/кг"
206109800,– – – прочие,-,"15%, но не менее 0.15евро/кг"
20620,"– крупного рогатого скота, замороженные",,
206210000,– – языки,-,"15%, но не менее 0.6евро/кг"
206220000,– – печень,,
206220001,– – – для производства фармацевтической продукции,-,5%
206220009,– – – прочая,-,"12.5%, но не менее 0.13евро/кг"
206290000,– – прочие,,
206291000,– – – для производства фармацевтической продукции,-,5%
206299000,– – – прочие,,
206299100,– – – – толстая диафрагма и тонкая диафрагма,-,"12.5%, но не менее 0.13евро/кг"
206299900,– – – – прочие,-,"12.5%, но не менее 0.13евро/кг"
20630,"– свиней, свежие или охлажденные",,
206300000,– – печень,,
206300001,– – – для производства фармацевтической продукции,-,5%
206300002,– – – прочая,-,"15%, но не менее 0.15евро/кг"
206300003,– – прочие,,
206300003,– – – для производства фармацевтической продукции,-,5%
206300004,– – – прочие,-,"15%, но не менее 0.15евро/кг"
20640,"– свиней, замороженные",,
206410000,– – печень,,
206410001,– – – для производства фармацевтической продукции,-,5%
206410009,– – – прочая,-,"15%, но не менее 0.15евро/кг"
206490000,– – прочие,,
206490001,– – – для производства фармацевтической продукции,-,5%
206490002,– – – прочие,,
206490002,– – – – домашних свиней,-,"12.5%, но не менее 0.13евро/кг"
206490008,– – – – прочие,-,"15%, но не менее 0.15евро/кг"
20680,– свежие или охлажденные прочие,,
206801000,– – для производства фармацевтической продукции,-,5%
206809000,– – прочие,,
206809100,"– – – лошадей, ослов, мулов и лошаков",-,"15%, но не менее 0.15евро/кг"
206809900,– – – овец и коз,-,"15%, но не менее 0.15евро/кг"
20690,– замороженные прочие,,
206901000,– – для производства фармацевтической продукции,-,5%
206909000,– – прочие,,
206909100,"– – – лошадей, ослов, мулов и лошаков",-,"15%, но не менее 0.15евро/кг"
206909900,– – – овец и коз,-,"15%, но не менее 0.15евро/кг"
207,"Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные",,
20710,– кур домашних (Gallus domesticus),,
207110000,"– – не разделенные на части, свежие или охлажденные",,
207111000,"– – – ощипанные и без кишок, с головой и плюснами ног, представленные как ""83%-ные цыплята""",,
207111001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207111009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207113000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ные цыплята""",,
207113001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207113009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207119000,"– – – ощипанные и потрошеные, без головы и плюсен ног и без шейки, сердца, печени и мускульного желудка, представленные как ""65%-ные цыплята"", или представленные в какой-либо другой разделке",,
207119001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207119009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207120000,"– – не разделенные на части, замороженные",,
207121000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ные цыплята""",,
207121001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207121009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207129000,"– – – ощипанные и потрошеные, без головы и плюсен ног и без шейки, сердца, печени и мускульного желудка, представленные как ""65%-ные цыплята"", или представленные в какой-либо другой разделке",,
207129001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207129009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207130000,"– – части тушек и субпродукты, свежие или охлажденные",,
207130000,– – – части тушек,,
207131000,– – – – мясо обваленное,,
207131001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207131009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207132000,– – – – необваленные,,
207132000,– – – – – половины или четвертины,,
207132001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207132009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207133000,"– – – – – крылья целые, с тонким концом или без него",,
207133001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207133009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207134000,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207134001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207134009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207135000,– – – – – грудки и куски из них,,
207135001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207135009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207136000,– – – – – ножки и куски из них,,
207136001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207136009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207137000,– – – – – прочие,,
207137001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207137009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207139000,– – – субпродукты,,
207139100,– – – – печень,,
207139101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207139109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207139900,– – – – прочие,,
207139901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207139909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207140000,"– – части тушек и субпродукты, замороженные",,
207140000,– – – части тушек,,
207141000,– – – – мясо обваленное,,
207141001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,25%
207141009,– – – – – прочее,-,80%
207142000,– – – – необваленные,,
207142000,– – – – – половины или четвертины,,
207142001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207142009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207143000,"– – – – – крылья целые, с тонким концом или без него",,
