Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
207268009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207269000,– – – субпродукты,,
207269100,– – – – печень,,
207269101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207269109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207269900,– – – – прочие,,
207269901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207269909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207270000,"– – части тушек и субпродукты, замороженные",,
207270000,– – – части тушек,,
207271000,– – – – мясо обваленное,,
207271001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207271009,– – – – – прочее,-,80%
207272000,– – – – необваленные,,
207272000,– – – – – половины или четвертины,,
207272001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207272009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207273000,"– – – – – крылья целые, с тонким концом или без него",,
207273001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207273009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207274000,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207274001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207274009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207275000,– – – – – грудки и куски из них,,
207275001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207275009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207276000,– – – – – ножки и куски из них,,
207276000,– – – – – – голени и куски из них,,
207276001,"– – – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207276009,– – – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207277000,– – – – – – прочие,,
207277001,"– – – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207277009,– – – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207278000,– – – – – прочие,,
207278001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207278009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207279000,– – – субпродукты,,
207279100,– – – – печень,,
207279101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207279109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207279900,– – – – прочие,,
207279901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207279909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
20740,– уток,,
207410000,"– – не разделенные на части, свежие или охлажденные",,
207412000,"– – – ощипанные, обескровленные, без кишок, но не потрошеные, с головой и плюснами ног, представленные как ""85%-ные утки""",,
207412001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207412009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207413000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ные утки""",,
207413001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207413009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207418000,"– – – ощипанные и потрошеные, без головы и плюсен ног, без шейки, сердца, печени и мускульного желудка, представленные как ""63%-ные утки"", или представленные в какой-либо другой разделке",,
207418001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207418009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207420000,"– – не разделенные на части, замороженные",,
207423000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ные утки""",,
207423001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207423009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207428000,"– – – ощипанные и потрошеные, без головы и плюсен ног, без шейки, сердца, печени и мускульного желудка, представленные как ""63%-ные утки"", или представленные в какой-либо другой разделке",,
207428001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207428009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207430000,"– – жирная печень, свежая или охлажденная",,
207430001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207430009,– – – прочая,-,"80%, но не менее 0.7евро/кг"
207440000,"– – прочие, свежие или охлажденные",,
207440000,– – – части тушек,,
207441000,– – – – мясо обваленное,,
207441001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207441009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207442000,– – – – необваленные,,
207442100,– – – – – половины или четвертины,,
207442101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207442109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207443100,"– – – – – крылья целые, с тонким концом или без него",,
207443101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207443109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207444100,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207444101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207444109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207445100,– – – – – грудки и куски из них,,
207445101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207445109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207446100,– – – – – ножки и куски из них,,
207446101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207446109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207447100,– – – – – палетоты,,
207447101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207447109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207448100,– – – – – прочие,,
207448101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207448109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207449000,– – – субпродукты,,
207449100,"– – – – печень, кроме жирной",,
207449101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207449109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207449900,– – – – прочие,,
207449901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207449909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207450000,"– – прочие, замороженные",,
207450000,– – – части тушек,,
207451000,– – – – мясо обваленное,,
207451001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207451009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207452000,– – – – необваленные,,
207452100,– – – – – половины или четвертины,,
207452101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207452109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207453100,"– – – – – крылья целые, с тонким концом или без него",,
207453101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207453109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207454100,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207454101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207454109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207455100,– – – – – грудки и куски из них,,
207455101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207455109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207456100,– – – – – ножки и куски из них,,
207456101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207456109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207457100,– – – – – палетоты,,
207457101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207457109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207458100,– – – – – прочие,,
207458101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207458109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207459000,– – – субпродукты,,
207459300,– – – – печень,,
207459300,– – – – – жирная печень,,
207459301,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207459309,– – – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207459500,– – – – – прочая,,
207459501,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207459509,– – – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207459900,– – – – прочие,,
207459901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207459909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
20750,– гусей,,
207510000,"– – не разделенные на части, свежие или охлажденные",,
207511000,"– – – ощипанные, обескровленные, непотрошеные, с головой и плюснами ног, представленные как ""82%-ные гуси""",,
207511001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207511009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207519000,"– – – ощипанные и потрошеные, без головы и плюсен ног, с сердцем и мускульным желудком или без них, представленные как ""75%-ные гуси"", или представленные в какой-либо другой разделке",,
207519001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207519009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207520000,"– – не разделенные на части, замороженные",,
207521000,"– – – ощипанные, обескровленные, непотрошеные, с головой и плюснами ног, представленные как ""82%-ные гуси""",,
207521001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207521009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207529000,"– – – ощипанные и потрошеные, без головы и плюсен ног, с сердцем и мускульным желудком или без них, представленные как ""75%-ные гуси"", или представленные в какой-либо другой разделке",,
207529001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207529009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207530000,"– – жирная печень, свежая или охлажденная",,
207530001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207530009,– – – прочая,-,"80%, но не менее 0.7евро/кг"
207540000,"– – прочие, свежие или охлажденные",,
207540000,– – – части тушек,,
207541000,– – – – мясо обваленное,,
207541001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207541009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207542000,– – – – необваленные,,
207542100,– – – – – половины или четвертины,,
207542101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207542109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207543100,"– – – – – крылья целые, с тонким концом или без него",,
207543101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207543109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207544100,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207544101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207544109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207545100,– – – – – грудки и куски из них,,
207545101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207545109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207546100,– – – – – ножки и куски из них,,
207546101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207546109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207547100,– – – – – палетоты,,
207547101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207547109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207548100,– – – – – прочие,,
207548101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207548109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207549000,– – – субпродукты,,
207549100,"– – – – печень, кроме жирной",,
207549101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207549109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207549900,– – – – прочие,,
207549901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207549909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207550000,"– – прочие, замороженные",,
207550000,– – – части тушек,,
207551000,– – – – мясо обваленное,,
207551001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207551009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207552000,– – – – необваленные,,
207552100,– – – – – половины или четвертины,,
207552101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207552109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207553100,"– – – – – крылья целые, с тонким концом или без него",,
207553101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207553109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207554100,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207554101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207554109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207555100,– – – – – грудки и куски из них,,
207555101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207555109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207556100,– – – – – ножки и куски из них,,
207556101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207556109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207557100,– – – – – палетоты,,
207557101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207557109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207558100,– – – – – прочие,,
207558101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207558109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207559000,– – – субпродукты,,
207559300,– – – – печень,,
207559300,– – – – – жирная печень,,
207559301,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207559309,– – – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207559500,– – – – – прочая,,
207559501,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207559509,– – – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207559900,– – – – прочие,,
207559901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207559909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
20760,– цесарок,,
207600500,"– – не разделенные на части, свежие, охлажденные или замороженные",,
207600501,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207600509,– – – прочие,-,"80%, но не менее 0.7евро/кг"
207601000,– – прочие,,
207601000,– – – части тушек,,
207601000,– – – – мясо обваленное,,
207601001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207601009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207602000,– – – – необваленные,,
207602100,– – – – – половины или четвертины,,
207602101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207602109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207603100,"– – – – – крылья целые, с тонким концом или без него",,
207603101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207603109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207604100,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207604101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207604109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207605100,– – – – – грудки и куски из них,,
207605101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207605109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207606100,– – – – – ножки и куски из них,,
207606101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207606109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207608100,– – – – – прочие,,
207608101,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207608109,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207609000,– – – субпродукты,,
207609100,– – – – печень,,
207609101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207609109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207609900,– – – – прочие,,
207609901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207609909,– – – – – прочие,-,"80%, но не менее 0.7евро/кг"
208,"Прочие мясо и пищевые мясные субпродукты, свежие, охлажденные или замороженные",,
20810,– кроликов или зайцев,,
208101000,– – домашних кроликов,-,"15%, но не менее 0.15евро/кг"
208109000,– – прочие,-,"15%, но не менее 0.15евро/кг"
208300000,– приматов,-,"15%, но не менее 0.15евро/кг"
20840,"– китов, дельфинов и морских свиней (млекопитающих отряда Cetacea); ламантинов и дюгоней (млекопитающих отряда Sirenia); тюленей, морских львов и моржей (млекопитающих подотряда Pinnipedia)",,
208401000,– – мясо китов,-,"15%, но не менее 0.15евро/кг"
208402000,– – мясо тюленей,-,"15%, но не менее 0.15евро/кг"
208408000,– – прочие,-,"15%, но не менее 0.15евро/кг"
208500000,– рептилий (включая змей и черепах),-,"15%, но не менее 0.15евро/кг"
208600000,– верблюдов и прочих животных семейства верблюдовых (Camelidae),-,"15%, но не менее 0.15евро/кг"
20890,– прочие,,
208901000,– – домашних голубей,-,"15%, но не менее 0.15евро/кг"
208903000,"– – дичи, кроме кроликов или зайцев",-,"15%, но не менее 0.15евро/кг"
208906000,– – северных оленей,-,"15%, но не менее 0.15евро/кг"
208907000,– – лягушачьи лапки,-,"15%, но не менее 0.15евро/кг"
208909800,– – прочие,-,"15%, но не менее 0.15евро/кг"
209,"Свиной жир, отделенный от тощего мяса, и жир домашней птицы, не вытопленные или не извлеченные другим способом, свежие, охлажденные, замороженные, соленые, в рассоле, сушеные или копченые",,
20910,– свиной,,
209101000,– – подкожный свиной жир,,
209101100,"– – – свежий, охлажденный, замороженный, соленый или в рассоле",-,"15%, но не менее 0.15евро/кг"
209101900,– – – сушеный или копченый,-,"15%, но не менее 0.15евро/кг"
209109000,"– – свиной жир, кроме указанного в подсубпозиции 0209 10 110 0 или 0209 10 190 0",-,"15%, но не менее 0.15евро/кг"
209900000,– прочий,-,"15%, но не менее 0.15евро/кг"
210,"Мясо и пищевые мясные субпродукты, соленые, в рассоле, сушеные или копченые; пищевая мука тонкого и грубого помола из мяса или мясных субпродуктов",,
21010,– свинина,,
210110000,"– – окорока, лопатки и отруба из них, необваленные",,
210110000,– – – домашних свиней,,
210111000,– – – – соленые или в рассоле,,
210111100,– – – – – окорока и отруба из них,-,"15%, но не менее 0.4евро/кг"
210111900,– – – – – лопатки и отруба из них,-,"15%, но не менее 0.4евро/кг"
210113000,– – – – сушеные или копченые,,
210113100,– – – – – окорока и отруба из них,-,"15%, но не менее 0.4евро/кг"
210113900,– – – – – лопатки и отруба из них,-,"15%, но не менее 0.4евро/кг"
210119000,– – – прочие,-,"15%, но не менее 0.4евро/кг"
210120000,– – грудинки (стрики) и отруба из них,,
210121000,– – – домашних свиней,,
210121100,– – – – соленые или в рассоле,-,"15%, но не менее 0.4евро/кг"
210121900,– – – – сушеные или копченые,-,"15%, но не менее 0.4евро/кг"
210129000,– – – прочие,-,"15%, но не менее 0.4евро/кг"
210190000,– – прочие,,
210190000,– – – домашних свиней,,
210190000,– – – – соленые или в рассоле,,
210191000,– – – – – беконные половинки или спенсеры,-,"15%, но не менее 0.4евро/кг"
210192000,– – – – – 3/4 свиного бока или свиные серединки,-,"15%, но не менее 0.4евро/кг"
210193000,– – – – – передние края и отруба из них,-,"15%, но не менее 0.4евро/кг"
210194000,– – – – – корейки и отруба из них,-,"15%, но не менее 0.4евро/кг"
210195000,– – – – – прочие,-,"15%, но не менее 0.4евро/кг"
210196000,– – – – сушеные или копченые,,
210196000,– – – – – передние края и отруба из них,-,"15%, но не менее 0.4евро/кг"
210197000,– – – – – корейки и отруба из них,-,"15%, но не менее 0.4евро/кг"
210198000,– – – – – прочие,,
210198100,– – – – – – мясо обваленное,-,"15%, но не менее 0.29евро/кг"
210198900,– – – – – – прочие,-,"15%, но не менее 0.4евро/кг"
210199000,– – – прочие,-,"15%, но не менее 0.4евро/кг"
21020,– мясо крупного рогатого скота,,
210201000,– – необваленное,-,"15%, но не менее 0.4евро/кг"
210209000,– – мясо обваленное,-,"15%, но не менее 0.4евро/кг"
21090,"– прочие, включая пищевую муку тонкого и грубого помола из мяса или мясных субпродуктов",,
210910000,– – приматов,-,"15%, но не менее 0.4евро/кг"
210920000,"– – китов, дельфинов и морских свиней (млекопитающих отряда Cetacea); ламантинов и дюгоней (млекопитающих отряда Sirenia); тюленей, морских львов и моржей (млекопитающих подотряда Pinnipedia)",,
210921000,"– – – китов, дельфинов и морских свиней (млекопитающих отряда Cetacea); ламантинов и дюгоней (млекопитающих отряда Sirenia)",-,"15%, но не менее 0.4евро/кг"
210929000,– – – прочие,,
210929100,– – – – мясо,-,"15%, но не менее 0.4евро/кг"
210929200,– – – – субпродукты,-,15%
210929900,– – – – пищевая мука тонкого и грубого помола из мяса или мясных субпродуктов,-,15%
210930000,– – рептилий (включая змей и черепах),-,"15%, но не менее 0.4евро/кг"
210990000,– – прочие,,
210990000,– – – мясо,,
210991000,"– – – – лошадей соленое, в рассоле или сушеное",-,"15%, но не менее 0.4евро/кг"
210992000,– – – – баранина и козлятина,,
210992100,– – – – – необваленная,-,"15%, но не менее 0.4евро/кг"
210992900,– – – – – мясо обваленное,-,"15%, но не менее 0.4евро/кг"
210993100,– – – – северных оленей,-,"15%, но не менее 0.4евро/кг"
210993900,– – – – прочих,-,"15%, но не менее 0.4евро/кг"
210994000,– – – субпродукты,,
210994000,– – – – домашних свиней,,
210994100,– – – – – печень,-,15%
210994900,– – – – – прочие,-,15%
210995000,– – – – крупного рогатого скота,,
210995100,– – – – – толстая диафрагма и тонкая диафрагма,-,15%
210995900,– – – – – прочие,-,15%
210997000,– – – – прочие,,
210997000,– – – – – печень домашней птицы,,
210997100,"– – – – – – жирная печень гусей или уток, соленая или в рассоле",-,15%
210997900,– – – – – – прочая,-,15%
210998500,– – – – – прочие,-,15%
210999000,– – – пищевая мука тонкого и грубого помола из мяса или мясных субпродуктов,-,15%
